Date,Open,High,Low,Close,Volume,Personal Saving %,Close/Last
2018-12-13,90.655228,91.111603,85.518311,86.539314,1754475622,9.0,2650.54
2018-12-14,86.630356,87.144943,83.226479,84.308296,1651491877,9.0,2599.95
2018-12-17,85.382111,96.805054,85.382111,95.133827,2101453024,9.0,2545.94
2018-12-18,95.10804,101.320236,92.968521,101.112457,2277514076,9.0,2546.16
2018-12-19,101.683846,108.549057,100.69146,101.268578,2456482115,9.0,2506.96
2018-12-20,101.090439,117.170128,100.639961,116.216873,3063842618,9.0,2467.42
2018-12-21,115.835403,119.094162,107.584793,109.496231,2632539990,9.0,2416.62
2018-12-24,130.641663,157.668701,130.641663,140.238007,4370343387,9.0,2351.1
2018-12-26,129.888824,136.677246,126.292908,131.865631,2720469126,9.0,2467.7
2018-12-27,131.923584,132.677063,115.650101,116.575912,2612804378,9.0,2488.83
2018-12-28,116.898201,137.647018,115.69313,137.647018,3130201009,9.0,2485.74
2018-12-31,140.031067,140.181152,132.519394,133.368256,2358360234,9.0,2506.85
2019-01-02,141.519516,156.929138,140.650955,155.047684,3328240369,8.7,2510.03
2019-01-03,155.196045,155.863052,147.198364,149.13501,2676164880,8.7,2447.89
2019-01-04,148.912888,156.878983,147.907104,154.58194,3126192535,8.7,2531.94
2019-01-07,157.809494,158.450424,151.150726,151.699219,2712108388,8.7,2549.69
2019-01-08,151.967545,153.625778,148.66954,150.359634,2459808140,8.7,2574.41
2019-01-09,150.554688,153.622253,150.288376,150.803116,2369241197,8.7,2584.96
2019-01-10,150.843506,152.14827,126.529373,128.625183,3397734456,8.7,2596.64
2019-01-11,127.813965,130.165939,125.244942,127.548325,2667585234,8.7,2596.26
2019-01-14,116.979095,130.856735,116.96756,129.068726,2798085735,8.7,2582.61
2019-01-15,129.172684,130.743561,120.311523,122.032715,2735449164,8.7,2610.3
2019-01-16,121.809242,127.118248,121.441414,123.547066,2746469340,8.7,2616.1
2019-01-17,123.57354,124.270721,120.817032,123.74192,2594091285,8.7,2635.96
2019-01-18,123.654655,123.84169,120.241898,121.010262,2305389800,8.7,2670.71
2019-01-22,117.110756,119.664345,114.676682,118.747551,2552507405,8.7,2632.9
2019-01-23,118.713814,119.422798,116.376648,117.452606,2556952198,8.7,2638.7
2019-01-24,117.462784,118.032104,116.006798,117.362885,2520843420,8.7,2642.33
2019-01-25,117.594955,117.802994,115.830154,116.378342,2606881898,8.7,2664.76
2019-01-28,113.285233,113.688232,103.336464,106.589973,3366895505,8.7,2643.85
2019-01-29,106.721954,107.165787,103.999229,105.598213,2900418606,8.7,2640.0
2019-01-30,105.407204,109.45298,104.843796,108.907539,2874370355,8.7,2681.05
2019-01-31,108.900772,110.458359,106.525352,107.061012,2828796031,8.7,2704.1
2019-02-01,107.147682,108.63871,105.046501,107.609787,2541271519,8.8,2706.53
2019-02-04,107.625824,108.701035,107.067421,107.821602,2491888675,8.8,2724.87
2019-02-05,107.628166,108.134789,106.909897,107.44352,2515863999,8.8,2737.7
2019-02-06,107.569305,107.569305,102.934563,104.919289,2593048199,8.8,2731.61
2019-02-07,104.835777,106.058876,104.409134,104.535301,2326764622,8.8,2706.05
2019-02-08,104.64505,119.805817,104.194435,119.267746,3656841347,8.8,2707.88
2019-02-11,124.871536,124.871536,120.311752,121.298393,3222473887,8.8,2709.8
2019-02-12,121.178574,123.4683,119.600021,122.572289,3149576429,8.8,2744.73
2019-02-13,122.544289,125.550697,121.612495,122.553604,3386585799,8.8,2753.03
2019-02-14,122.416985,124.451988,121.334892,121.390205,3331701628,8.8,2745.73
2019-02-15,121.453697,123.660126,121.371918,122.100388,3021741615,8.8,2775.6
2019-02-19,146.398819,149.929977,145.128464,145.346191,5310842625,8.8,2779.76
2019-02-20,145.172729,149.554337,142.502121,149.554337,4500094965,8.8,2784.7
2019-02-21,149.352325,149.352325,144.563812,146.130844,3995766856,8.8,2774.88
2019-02-22,146.073257,149.268616,145.206543,149.092453,3731099284,8.8,2792.67
2019-02-25,135.499725,142.525574,135.483841,139.822861,4914392068,8.8,2796.11
2019-02-26,139.646088,139.97644,136.579605,138.089676,3791292839,8.8,2793.9
2019-02-27,138.029572,141.336227,131.602921,136.125961,4469776860,8.8,2792.38
2019-02-28,136.283081,138.847137,135.657593,136.746246,4535438953,8.8,2784.49
2019-03-01,136.836243,138.99527,136.434784,136.443619,3756124824,8.2,2803.69
2019-03-04,132.157883,132.729141,125.402702,127.774124,4008171341,8.2,2792.81
2019-03-05,127.792953,138.22998,126.735298,137.822388,4764849990,8.2,2789.65
2019-03-06,137.95874,139.968826,136.14592,138.789352,4589054219,8.2,2771.45
2019-03-07,138.942383,140.85788,137.273132,138.0345,4339206292,8.2,2748.93
2019-03-08,138.311356,139.4991,133.557693,135.127075,4678816794,8.2,2743.07
2019-03-11,136.849533,137.353409,133.102798,133.83403,4689807419,8.2,2783.3
2019-03-12,134.012848,135.273468,130.944153,134.442886,4709988000,8.2,2791.52
2019-03-13,134.611771,134.611771,132.719727,133.263077,4265162099,8.2,2810.92
2019-03-14,133.203903,135.180847,132.750076,133.711594,4476532147,8.2,2808.48
2019-03-15,133.567154,138.395142,133.567154,137.691788,4506861856,8.2,2822.48
2019-03-18,140.104858,142.267212,138.841553,139.374603,4551739879,8.2,2832.94
2019-03-19,139.254013,140.989059,139.143021,140.519196,4251488129,8.2,2832.57
2019-03-20,140.484711,140.945572,138.307037,140.686356,4664134462,8.2,2824.23
2019-03-21,140.478485,141.003235,135.855423,136.636063,5087247796,8.2,2854.88
2019-03-22,136.562256,138.794296,136.228607,137.181442,4490899266,8.2,2800.71
2019-03-25,137.08136,137.695343,133.490158,135.031021,4480516753,8.2,2798.36
2019-03-26,135.054321,135.460358,133.757339,135.460358,4499271679,8.2,2818.46
2019-03-27,135.454361,141.07547,135.34166,140.988159,5228240093,8.2,2805.37
2019-03-28,141.005844,141.007935,138.425171,139.416473,4163212475,8.2,2815.44
2019-03-29,139.343201,142.54924,138.045105,142.497421,5125602702,8.2,2834.4
2019-04-01,141.465485,142.733994,140.737564,141.830322,4611999536,7.7,2867.19
2019-04-02,141.839523,165.226822,141.636459,163.961746,9826645698,7.7,2867.24
2019-04-03,164.008636,178.322052,157.322144,161.458801,10622456246,7.7,2873.4
2019-04-04,161.431763,164.929214,155.241104,158.052536,7953123529,7.7,2879.39
2019-04-05,158.020004,167.220383,157.443954,165.514847,7531316908,7.7,2892.74
2019-04-08,174.449677,184.377853,174.160995,180.25882,9304964610,7.7,2895.77
2019-04-09,180.222122,180.254227,175.091751,176.114578,7632529578,7.7,2878.2
2019-04-10,176.067841,183.134277,175.230377,177.337479,7856924879,7.7,2888.21
2019-04-11,177.342758,177.487488,162.320618,165.497025,7859383417,7.7,2888.32
2019-04-12,165.335205,166.127518,161.029739,164.736328,6237185309,7.7,2907.41
2019-04-15,167.897476,168.818451,159.55574,161.574173,5672311824,7.7,2905.58
2019-04-16,161.52655,167.666321,160.888748,167.623444,5180105341,7.7,2907.06
2019-04-17,167.553696,168.938583,165.501892,166.95076,5596102715,7.7,2900.45
2019-04-18,166.913208,175.365326,166.672119,173.814026,6971581464,7.7,2905.03
2019-04-22,170.017487,173.069122,168.729553,171.874664,6094878077,7.7,2907.97
2019-04-23,172.007217,176.850784,170.896759,171.4478,7097827092,7.7,2933.68
2019-04-24,171.349533,171.573212,161.976685,165.826096,7351304156,7.7,2927.25
