date,Day of Year,id,nlikes,nretweets,compound,neg,neu,pos
2019-04-08,98.0,1.1152808477493372e+18,1.688183807439825,0.4549234135667396,0.11090052516411379,0.033019912472647704,0.9044903719912472,0.062486870897155364
2019-04-09,99.0,1.1156448627274028e+18,1.9813760993274703,0.6345059493016038,0.1313237972064149,0.02391205380237972,0.9117915157785825,0.06429953440248319
2019-04-10,100.0,1.1159873231297994e+18,2.58801996672213,0.9367720465890182,0.1454728452579035,0.02200931780366057,0.9089361064891847,0.06905723793677204
2019-04-12,102.0,1.1167956626166785e+18,1.9522830111065406,0.5331139448786507,0.1400099547511312,0.030548334018922256,0.8967231591937475,0.07271945701357466
2019-04-13,103.0,1.1171050290354968e+18,2.87163772557031,1.0275791624106232,0.1451880830779707,0.02567211440245148,0.9024790602655771,0.0718508682328907
2019-04-14,104.0,1.1174651680477325e+18,1.497,0.5046666666666667,0.15524996666666668,0.023811333333333334,0.9008700000000001,0.07531600000000001
2019-04-15,105.0,1.1178262231055555e+18,2.4476163288609762,0.9777333713959463,0.15878364259206396,0.01868369968598344,0.9104484727376534,0.0708658292891807
2019-04-16,106.0,1.1181882811711149e+18,2.353655094552639,0.9695173581710415,0.18869920970928591,0.018567880327406153,0.9010307648885125,0.08039937905729608
2019-04-17,107.0,1.1185508028002843e+18,2.086021505376344,0.7167584579071598,0.15648067138735902,0.017823760818253345,0.9135239968528717,0.0686464725937582
2019-04-18,108.0,1.1189125306135492e+18,3.624222830141756,1.9947774185525988,0.14316985824421785,0.01950012434717732,0.914291469783636,0.06620243720467545
2019-04-19,109.0,1.1192750686847428e+18,2.909868622059273,0.925756186984418,0.14000586617781852,0.025634280476626945,0.9043834402688665,0.06998533455545372
2019-04-20,110.0,1.1196381375713508e+18,1.9581734458940905,0.8303914044512664,0.16164217191097469,0.019049884881043744,0.9112359938603224,0.06971834228702993
2019-04-21,111.0,1.120001841329174e+18,2.4360990955564295,1.1663389697208022,0.14676095163193079,0.024128588281557218,0.905325992921746,0.07054817145104207
2019-04-22,112.0,1.1203656801399807e+18,1.7909724325961829,0.49409269918206605,0.15918049076037563,0.023153589821266286,0.9018803392911239,0.07496667676461678
2019-04-23,113.0,1.120726461160307e+18,2.6477802305616875,1.1778268334559725,0.1374067206279127,0.027083149374540105,0.903131714495953,0.06978072111846946
2019-04-24,114.0,1.1210792731633385e+18,2.887561964849031,1.1593059936908516,0.12496870211807119,0.0244006309148265,0.9116658404686796,0.06392969806219018
2019-04-25,115.0,1.1214459395023972e+18,2.1812297734627832,0.6813542444610405,0.10874468508837441,0.03668757779437391,0.8976522280308689,0.06566168782673637
2019-04-26,116.0,1.1218095914648212e+18,2.2030787448194196,0.6873889875666075,0.15163496151568975,0.023602131438721134,0.9046764357608051,0.07172528123149793
2019-04-27,117.0,1.1221756558063781e+18,2.1102507374631267,0.7123893805309734,0.14631618731563423,0.023440265486725665,0.9059789823008849,0.0705862831858407
2019-04-28,118.0,1.1225582350854209e+18,2.1959412176347097,1.0738278516445066,0.14295115465360392,0.022473058082575225,0.9077571728481455,0.06976976906927922
2019-04-29,119.0,1.1229091983577947e+18,29.640694919715713,3.2832324295867332,0.13704743353514082,0.027635956830744934,0.9033006054224796,0.069066596472756
2019-04-30,120.0,1.1232507173891648e+18,4.684231943031536,1.284028484231943,0.17079611393692776,0.019356256358087486,0.9067487283825025,0.07389786368260427
2019-05-01,121.0,1.1236204531655773e+18,2.63493400730132,0.6689132266217355,0.17588337545633248,0.020865487222690257,0.902729851165403,0.07640213423195731
2019-05-02,122.0,1.1239836520181217e+18,2.618581259925887,0.9703546850185283,0.16574645314981473,0.021584965590259398,0.8995701429327687,0.07884409740603493
2019-05-03,123.0,1.1243515748757932e+18,2.910205245153934,0.9059293044469784,0.1446345210946408,0.019787913340935003,0.9148452109464082,0.06536459521094641
2019-05-04,124.0,1.1247117308384433e+18,2.3110661268556005,0.7341430499325237,0.15857385290148449,0.0236636302294197,0.9045836707152497,0.07175843454790823
2019-05-05,125.0,1.1250812024784653e+18,4.128943758573389,2.794581618655693,0.19819622770919068,0.01966289437585734,0.8936999314128944,0.0866340877914952
2019-05-06,126.0,1.1254468144893919e+18,3.2130162703379224,1.24630788485607,0.17697744680851063,0.01899299123904881,0.9022728410513141,0.07873466833541928
2019-05-07,127.0,1.1257893499370966e+18,2.79820110701107,0.8595479704797048,0.1749489852398524,0.017074492619926197,0.9066607472324724,0.07626614391143911
2019-05-08,128.0,1.126156808291916e+18,2.597342037771042,0.8109116344136162,0.1956941245045465,0.019593378409885755,0.8992961063184892,0.08110981580788063
2019-05-09,129.0,1.1265218732424689e+18,3.916074357572444,1.228540185893931,0.18390229633679606,0.017958173865500273,0.9072356478950246,0.07480535811919081
2019-05-10,130.0,1.1268938420315194e+18,3.010137581462708,1.1496500120685493,0.1645073376780111,0.01700362056480811,0.9145068790731354,0.06848805213613324
2019-05-11,131.0,1.1272499224149042e+18,2.534858967535923,0.6862692921766897,0.1540240021287919,0.02257956359765833,0.9084877594465142,0.06893453964874934
2019-05-12,132.0,1.1276146632003372e+18,2.4148260211800303,0.7582450832072617,0.1616015431164902,0.018776096822995463,0.910681089258699,0.07054553706505294
2019-05-13,133.0,1.1279800460726322e+18,3.2514169122647925,1.0820675583767854,0.17513044661074587,0.015440943096803446,0.9134631602811154,0.07109861709362957
2019-05-14,134.0,1.128336722435347e+18,4.144023756495917,1.8428606780499877,0.18306540460282109,0.01860504825538233,0.9076013363028954,0.07379163573372928
2019-05-15,135.0,1.1286993039924659e+18,3.6130579891531083,0.8337505214851898,0.13553189403420943,0.021059866499791406,0.9165867751355862,0.06235294117647059
2019-05-16,136.0,1.129061023978992e+18,3.076192629437034,0.9778430929233551,0.15063529278770066,0.02100497399954782,0.9111352023513453,0.06786231064888085
2019-05-17,137.0,1.1293941987059524e+18,2.7038244885858287,1.0690779721316335,0.11966738808182627,0.03314171360806404,0.9010942780907204,0.06576697302104952
2019-05-19,139.0,1.1302807607167987e+18,2.859375,1.2379807692307692,0.17091153846153845,0.025727163461538465,0.8961153846153846,0.07816105769230769
2019-05-20,140.0,1.1305085074136603e+18,2.3322007318348144,0.8173026659696812,0.12843941453214847,0.02436800836382645,0.9139848405645583,0.06164715107161526
2019-05-21,141.0,1.1308824083900483e+18,2.9053588987217305,0.9255162241887905,0.13865371189773845,0.019278761061946904,0.9154198623402163,0.06530186823992135
2019-05-22,142.0,1.13123057087414e+18,2.162361623616236,0.7338253382533826,0.1658118573185732,0.01909249692496925,0.9066880688806888,0.07422337023370235
2019-05-23,143.0,1.1316014610940707e+18,4.353514265831594,1.6448619809788911,0.1993784504755277,0.017471584319183484,0.8924780793319416,0.09005126420784042
2019-05-24,144.0,1.13194963685894e+18,2.9375,1.0340676229508197,0.20919792520491803,0.016942879098360654,0.8901501024590165,0.09290957991803278
2019-05-25,145.0,1.1323223411569413e+18,2.3601089176310417,0.6882232811436352,0.19187045609258,0.02159121851599728,0.8934434989788972,0.08496630360789653
2019-05-26,146.0,1.1326930680957094e+18,2.127566475934029,0.6509592729720632,0.16794567485695053,0.01544193874116459,0.912903736115786,0.07165668125210367
2019-05-27,147.0,1.1330477087113647e+18,3.3337050459994426,1.0225815444661277,0.17904652913298022,0.016651798160022303,0.9071059381098412,0.07623863953164205
2019-05-28,148.0,1.1333780499219512e+18,3.178251467408094,1.158789002162496,0.15865409329626198,0.01808835341365462,0.9118303985171454,0.07008063021316033
2019-05-30,150.0,1.134179291015484e+18,2.749388325760224,0.7832925550506816,0.13522726319468717,0.02991296749388326,0.9004718629849703,0.06961516952114645
2019-05-31,151.0,1.1344943606323008e+18,2.6335483870967744,0.8126451612903226,0.15493847741935485,0.023158967741935484,0.9064010322580646,0.0704381935483871
2019-06-01,152.0,1.1348656305774746e+18,1.765843179377014,0.5621195846759757,0.17832255639097744,0.0167250268528464,0.9109351951306839,0.07234407447189402
2019-06-02,153.0,1.1352048770388477e+18,1.3520717867511216,0.6888361045130641,0.15419329638427023,0.013132752705199261,0.9255299551332806,0.061337028239641066
2019-06-03,154.0,1.1355858006139373e+18,2.6058951965065504,0.7622816593886463,0.15363277838427947,0.019040938864628824,0.9149369541484716,0.06602401746724891
2019-06-04,155.0,1.1359460074736579e+18,3.744952494061758,1.6291567695961995,0.14156371733966747,0.027131828978622326,0.8958714370546319,0.07699524940617578
2019-06-05,156.0,1.1363031504415954e+18,2.5136504362510554,0.905994933858711,0.15766690121024488,0.02294061356600056,0.8980092879256966,0.07905235012665353
2019-06-06,157.0,1.1366651028505211e+18,2.5993440830828094,0.6602896966384258,0.17365116151954085,0.021716589232030608,0.8893189396009838,0.08896365127083904
2019-06-07,158.0,1.137034575693333e+18,2.8547145606157796,0.8309813983322643,0.1929733162283515,0.015563502245028865,0.8890971776779987,0.09534284797947402
